Node,nxc,nyc,Node_new
96,8.715,53.135,0
176,8.445,53.225,1
177,8.535,53.225,2
259,8.445,53.315,3
260,8.535,53.315,4
342,8.445,53.405,5
343,8.535,53.405,6
410,14.565,53.405,7
411,14.655,53.405,8
422,8.175,53.495,9
426,8.535,53.495,10
441,9.885,53.495,11
442,9.975,53.495,12
493,14.565,53.495,13
494,14.655,53.495,14
505,8.175,53.585,15
508,8.445,53.585,16
509,8.535,53.585,17
520,9.525,53.585,18
521,9.615,53.585,19
522,9.705,53.585,20
576,14.565,53.585,21
577,14.655,53.585,22
587,8.085,53.675,23
588,8.175,53.675,24
589,8.265,53.675,25
590,8.355,53.675,26
591,8.445,53.675,27
602,9.435,53.675,28
603,9.525,53.675,29
658,14.475,53.675,30
659,14.565,53.675,31
669,7.995,53.765,32
670,8.085,53.765,33
671,8.175,53.765,34
672,8.265,53.765,35
684,9.345,53.765,36
685,9.435,53.765,37
739,14.295,53.765,38
740,14.385,53.765,39
741,14.475,53.765,40
747,7.545,53.855,41
748,7.635,53.855,42
749,7.725,53.855,43
750,7.815,53.855,44
751,7.905,53.855,45
752,7.995,53.855,46
753,8.085,53.855,47
760,8.715,53.855,48
761,8.805,53.855,49
762,8.895,53.855,50
763,8.985,53.855,51
764,9.075,53.855,52
765,9.165,53.855,53
766,9.254999999999999,53.855,54
767,9.345,53.855,55
782,10.695,53.855,56
783,10.785,53.855,57
784,10.875,53.855,58
791,11.504999999999999,53.855,59
822,14.295,53.855,60
830,7.545,53.945,61
831,7.635,53.945,62
832,7.725,53.945,63
833,7.815,53.945,64
834,7.905,53.945,65
835,7.995,53.945,66
836,8.085,53.945,67
837,8.175,53.945,68
838,8.265,53.945,69
839,8.355,53.945,70
840,8.445,53.945,71
841,8.535,53.945,72
842,8.625,53.945,73
843,8.715,53.945,74
848,9.165,53.945,75
849,9.254999999999999,53.945,76
865,10.695,53.945,77
866,10.785,53.945,78
867,10.875,53.945,79
868,10.965,53.945,80
872,11.325,53.945,81
873,11.415,53.945,82
874,11.504999999999999,53.945,83
904,14.205,53.945,84
905,14.295,53.945,85
913,7.545,54.035,86
914,7.635,54.035,87
915,7.725,54.035,88
916,7.815,54.035,89
917,7.905,54.035,90
918,7.995,54.035,91
919,8.085,54.035,92
920,8.175,54.035,93
921,8.265,54.035,94
922,8.355,54.035,95
923,8.445,54.035,96
924,8.535,54.035,97
932,9.254999999999999,54.035,98
933,9.345,54.035,99
949,10.785,54.035,100
950,10.875,54.035,101
951,10.965,54.035,102
952,11.055,54.035,103
953,11.145,54.035,104
954,11.235,54.035,105
955,11.325,54.035,106
956,11.415,54.035,107
982,13.754999999999999,54.035,108
987,14.205,54.035,109
988,14.295,54.035,110
989,14.385,54.035,111
990,14.475,54.035,112
996,7.545,54.125,113
997,7.635,54.125,114
998,7.725,54.125,115
999,7.815,54.125,116
1000,7.905,54.125,117
1001,7.995,54.125,118
1002,8.085,54.125,119
1003,8.175,54.125,120
1004,8.265,54.125,121
1005,8.355,54.125,122
1007,8.535,54.125,123
1008,8.625,54.125,124
1009,8.715,54.125,125
1010,8.805,54.125,126
1011,8.895,54.125,127
1016,9.345,54.125,128
1017,9.435,54.125,129
1034,10.965,54.125,130
1035,11.055,54.125,131
1036,11.145,54.125,132
1037,11.235,54.125,133
1038,11.325,54.125,134
1039,11.415,54.125,135
1040,11.504999999999999,54.125,136
1041,11.594999999999999,54.125,137
1043,11.774999999999999,54.125,138
1044,11.865,54.125,139
1046,12.045,54.125,140
1047,12.135,54.125,141
1062,13.485,54.125,142
1063,13.575,54.125,143
1064,13.665,54.125,144
1065,13.754999999999999,54.125,145
1066,13.844999999999999,54.125,146
1067,13.934999999999999,54.125,147
1068,14.024999999999999,54.125,148
1069,14.114999999999998,54.125,149
1070,14.205,54.125,150
1071,14.295,54.125,151
1072,14.385,54.125,152
1073,14.475,54.125,153
1074,14.565,54.125,154
1075,14.655,54.125,155
1076,14.745000000000001,54.125,156
1077,14.835,54.125,157
1078,14.925,54.125,158
1079,7.545,54.215,159
1080,7.635,54.215,160
1081,7.725,54.215,161
1082,7.815,54.215,162
1083,7.905,54.215,163
1084,7.995,54.215,164
1085,8.085,54.215,165
1086,8.175,54.215,166
1087,8.265,54.215,167
1088,8.355,54.215,168
1100,9.435,54.215,169
1101,9.525,54.215,170
1102,9.615,54.215,171
1118,11.055,54.215,172
1119,11.145,54.215,173
1120,11.235,54.215,174
1121,11.325,54.215,175
1122,11.415,54.215,176
1123,11.504999999999999,54.215,177
1124,11.594999999999999,54.215,178
1125,11.684999999999999,54.215,179
1126,11.774999999999999,54.215,180
1127,11.865,54.215,181
1128,11.955,54.215,182
1129,12.045,54.215,183
1130,12.135,54.215,184
1131,12.225,54.215,185
1142,13.215,54.215,186
1143,13.305,54.215,187
1144,13.395,54.215,188
1145,13.485,54.215,189
1146,13.575,54.215,190
1147,13.665,54.215,191
1148,13.754999999999999,54.215,192
1149,13.844999999999999,54.215,193
1150,13.934999999999999,54.215,194
1151,14.024999999999999,54.215,195
1152,14.114999999999998,54.215,196
1153,14.205,54.215,197
1154,14.295,54.215,198
1155,14.385,54.215,199
1156,14.475,54.215,200
1157,14.565,54.215,201
1158,14.655,54.215,202
1159,14.745000000000001,54.215,203
1160,14.835,54.215,204
1161,14.925,54.215,205
1162,7.545,54.305,206
1163,7.635,54.305,207
1164,7.725,54.305,208
1165,7.815,54.305,209
1166,7.905,54.305,210
1167,7.995,54.305,211
1168,8.085,54.305,212
1169,8.175,54.305,213
1170,8.265,54.305,214
1171,8.355,54.305,215
1185,9.615,54.305,216
1186,9.705,54.305,217
1187,9.795,54.305,218
1188,9.885,54.305,219
1189,9.975,54.305,220
1191,10.155,54.305,221
1198,10.785,54.305,222
1201,11.055,54.305,223
1202,11.145,54.305,224
1203,11.235,54.305,225
1204,11.325,54.305,226
1205,11.415,54.305,227
1206,11.504999999999999,54.305,228
1207,11.594999999999999,54.305,229
1208,11.684999999999999,54.305,230
1209,11.774999999999999,54.305,231
1210,11.865,54.305,232
1211,11.955,54.305,233
1212,12.045,54.305,234
1213,12.135,54.305,235
1214,12.225,54.305,236
1215,12.315,54.305,237
1224,13.125,54.305,238
1225,13.215,54.305,239
1231,13.754999999999999,54.305,240
1232,13.844999999999999,54.305,241
1233,13.934999999999999,54.305,242
1234,14.024999999999999,54.305,243
1235,14.114999999999998,54.305,244
1236,14.205,54.305,245
1237,14.295,54.305,246
1240,14.565,54.305,247
1241,14.655,54.305,248
1242,14.745000000000001,54.305,249
1243,14.835,54.305,250
1244,14.925,54.305,251
1245,7.545,54.395,252
1246,7.635,54.395,253
1249,7.905,54.395,254
1250,7.995,54.395,255
1251,8.085,54.395,256
1252,8.175,54.395,257
1253,8.265,54.395,258
1254,8.355,54.395,259
1255,8.445,54.395,260
1256,8.535,54.395,261
1257,8.625,54.395,262
1258,8.715,54.395,263
1259,8.805,54.395,264
1260,8.895,54.395,265
1270,9.795,54.395,266
1271,9.885,54.395,267
1272,9.975,54.395,268
1273,10.065,54.395,269
1274,10.155,54.395,270
1275,10.245000000000001,54.395,271
1276,10.335,54.395,272
1277,10.425,54.395,273
1278,10.515,54.395,274
1279,10.605,54.395,275
1280,10.695,54.395,276
1281,10.785,54.395,277
1282,10.875,54.395,278
1283,10.965,54.395,279
1284,11.055,54.395,280
1285,11.145,54.395,281
1286,11.235,54.395,282
1287,11.325,54.395,283
1288,11.415,54.395,284
1289,11.504999999999999,54.395,285
1290,11.594999999999999,54.395,286
1291,11.684999999999999,54.395,287
1292,11.774999999999999,54.395,288
1293,11.865,54.395,289
1294,11.955,54.395,290
1295,12.045,54.395,291
1296,12.135,54.395,292
1297,12.225,54.395,293
1298,12.315,54.395,294
1299,12.405000000000001,54.395,295
1306,13.035,54.395,296
1313,13.665,54.395,297
1314,13.754999999999999,54.395,298
1315,13.844999999999999,54.395,299
1316,13.934999999999999,54.395,300
1317,14.024999999999999,54.395,301
1318,14.114999999999998,54.395,302
1319,14.205,54.395,303
1320,14.295,54.395,304
1321,14.385,54.395,305
1322,14.475,54.395,306
1323,14.565,54.395,307
1324,14.655,54.395,308
1325,14.745000000000001,54.395,309
1326,14.835,54.395,310
1327,14.925,54.395,311
1328,7.545,54.485,312
1329,7.635,54.485,313
1331,7.815,54.485,314
1332,7.905,54.485,315
1333,7.995,54.485,316
1334,8.085,54.485,317
1335,8.175,54.485,318
1336,8.265,54.485,319
1340,8.625,54.485,320
1341,8.715,54.485,321
1342,8.805,54.485,322
1343,8.895,54.485,323
1344,8.985,54.485,324
1345,9.075,54.485,325
1354,9.885,54.485,326
1355,9.975,54.485,327
1356,10.065,54.485,328
1357,10.155,54.485,329
1358,10.245000000000001,54.485,330
1359,10.335,54.485,331
1360,10.425,54.485,332
1361,10.515,54.485,333
1362,10.605,54.485,334
1363,10.695,54.485,335
1364,10.785,54.485,336
1365,10.875,54.485,337
1369,11.235,54.485,338
1370,11.325,54.485,339
1371,11.415,54.485,340
1372,11.504999999999999,54.485,341
1373,11.594999999999999,54.485,342
1374,11.684999999999999,54.485,343
1375,11.774999999999999,54.485,344
